43.230.200.169:443#IN [268.54ms 7.98Mbps]
45.136.199.148:443#RO [269.96ms 3.65Mbps]
176.123.1.204:443#MD [270.57ms 3.21Mbps]
144.31.217.77:443#NO [271.69ms 1.11Mbps]
185.47.172.172:8443#IT [271.98ms 5.86Mbps]
38.54.42.124:443#BD [272.5ms 4.37Mbps]
193.108.112.17:443#AL [272.57ms 0.14Mbps]
217.156.122.254:8443#MD [273.27ms 0.46Mbps]
217.156.65.142:443#MD [273.54ms 0.25Mbps]
5.181.2.78:8443#HR [276.27ms 7.02Mbps]
89.147.111.223:2053#IS [278.37ms 6.49Mbps]
80.71.159.199:8443#BY [279.6ms 5.35Mbps]
64.176.167.56:8443#IL [280.03ms 4.67Mbps]
185.234.57.134:443#AM [281.27ms 0.96Mbps]
185.125.168.108:443#NO [281.56ms 0.0Mbps]
131.196.254.151:443#MX [281.68ms 4.6Mbps]
2.56.172.184:443#RS [282.28ms 5.72Mbps]
38.54.87.66:443#PH [282.63ms 0.0Mbps]
188.240.213.41:2053#KG [282.84ms 5.95Mbps]
180.149.37.38:8443#HU [282.96ms 3.6Mbps]
131.196.254.84:443#MX [283.79ms 0.87Mbps]
185.234.57.153:443#AM [283.88ms 3.04Mbps]
45.170.244.62:443#MX [285.36ms 3.33Mbps]
193.24.232.154:2053#CY [286.04ms 4.93Mbps]
5.182.39.57:443#PT [286.55ms 0.03Mbps]
185.75.243.102:443#AL [286.7ms 5.61Mbps]
156.244.1.250:8443#ID [287.61ms 0.0Mbps]
64.110.71.6:443#KR [288.17ms 3.97Mbps]
5.181.2.41:8443#HR [288.45ms 3.73Mbps]
193.108.112.65:443#AL [288.79ms 5.24Mbps]
45.15.160.250:443#RS [288.98ms 2.1Mbps]
132.145.91.181:8443#KR [289.98ms 0.91Mbps]
85.155.228.195:443#AL [291.02ms 5.01Mbps]
185.138.89.29:8443#PT [292.2ms 5.94Mbps]
193.123.74.174:8443#AE [293.71ms 0.4Mbps]
5.181.2.41:443#HR [294.96ms 0.29Mbps]
195.144.24.34:443#MK [295.49ms 6.03Mbps]
193.123.232.91:443#KR [296.39ms 0.86Mbps]
194.5.98.105:8443#NO [297.9ms 1.77Mbps]
91.231.182.28:2053#UA [298.06ms 0.25Mbps]
194.5.98.105:2053#NO [298.42ms 2.03Mbps]
91.148.134.83:2053#CO [298.86ms 4.65Mbps]
38.180.108.148:443#HU [299.58ms 3.07Mbps]
194.32.107.150:443#NO [300.26ms 4.93Mbps]
131.196.254.211:443#MX [300.72ms 4.53Mbps]
38.180.225.166:443#HU [301.08ms 0.57Mbps]
45.154.24.89:443#TH [301.65ms 4.42Mbps]
45.15.178.235:8443#BA [304.8ms 0.2Mbps]
85.159.229.122:443#IE [307.83ms 1.13Mbps]
90.156.220.194:2053#AE [314.55ms 2.66Mbps]
130.162.132.38:443#KR [316.46ms 0.21Mbps]
35.210.99.51:443#BE [317.49ms 5.19Mbps]
91.231.182.28:2083#UA [319.88ms 4.9Mbps]
198.55.103.38:2087#IE [322.33ms 0.0Mbps]
146.235.59.153:8443#BR [323.79ms 0.35Mbps]
38.180.79.9:443#BR [323.88ms 3.53Mbps]
45.89.107.146:443#MY [323.93ms 0.58Mbps]
38.180.196.40:2053#BR [324.14ms 0.27Mbps]
176.97.78.80:8443#AE [324.19ms 1.05Mbps]
195.86.13.120:443#ID [327.12ms 4.65Mbps]
216.238.110.198:8443#BR [327.54ms 4.39Mbps]
216.238.116.196:8443#BR [329.27ms 4.16Mbps]
131.196.254.203:443#MX [331.94ms 4.68Mbps]
139.84.226.30:8443#ZA [332.02ms 1.24Mbps]
152.67.41.217:443#BR [332.34ms 0.89Mbps]
206.53.48.65:443#GE [332.88ms 0.36Mbps]
38.180.196.40:8443#BR [332.92ms 0.49Mbps]
94.131.19.19:2053#BR [333.21ms 5.01Mbps]
161.118.151.101:443#KR [334.69ms 0.02Mbps]
45.150.128.181:443#TH [338.86ms 0.0Mbps]
156.38.157.171:8443#ZA [339.58ms 0.4Mbps]
94.141.97.10:443#BR [340.68ms 4.45Mbps]
146.235.59.153:2053#BR [342.86ms 0.19Mbps]
91.148.134.83:8443#CO [343.82ms 4.7Mbps]
180.149.44.54:443#AZ [345.95ms 4.98Mbps]
202.10.40.237:443#ID [347.75ms 0.1Mbps]
45.89.105.65:2053#IN [350.53ms 0.0Mbps]
143.110.247.61:8443#IN [351.98ms 3.52Mbps]
20.67.254.104:443#IE [357.2ms 0.2Mbps]
5.180.29.91:443#CL [360.54ms 0.0Mbps]
149.33.19.136:2053#AR [363.67ms 4.49Mbps]
139.84.231.16:8443#ZA [364.63ms 1.11Mbps]
89.221.224.101:2053#IS [366.93ms 1.75Mbps]
89.221.224.101:8443#IS [368.76ms 2.94Mbps]
64.176.9.170:8443#CL [371.77ms 4.17Mbps]
5.144.180.142:443#KG [375.6ms 4.86Mbps]
